,bill_number,bill_link,bill_description,bill_date,bill_section,bill_sponsor,Sponsor party
3830,S7236,https://www.nysenate.gov/legislation/bills/2019/s7236,Relates to the timing of the annual check of registrants," February 11, 2020",Election Law,MYRIE,
3831,S5349,https://www.nysenate.gov/legislation/bills/2019/s5349,Relates to regulation of toxic chemicals in children's products," February 7, 2020",Environmental Conservation Law,KAMINSKY,
3832,S4573,https://www.nysenate.gov/legislation/bills/2019/s4573,Relates to decreasing the length of the suspension period applicable to certain striking workers who seek to obtain unemployment insurance benefits," February 6, 2020",Labor Law,KENNEDY,
3833,S7310,https://www.nysenate.gov/legislation/bills/2019/s7310,Relates to increasing the length of the suspension period applicable to certain striking workers who seek to obtain unemployment insurance benefits," February 6, 2020",Labor Law,KENNEDY,
3834,A8956,https://www.nysenate.gov/legislation/bills/2019/a8956,Relates to exempting certain beer tastings from retail sales and compensating use taxes," February 3, 2020",Tax Law,LUPARDO,
3835,S6936,https://www.nysenate.gov/legislation/bills/2019/s6936,Relates to commercial mobile radio and cellular telephone service providers," February 3, 2020",Public Service Law,PARKER,
3836,S6937,https://www.nysenate.gov/legislation/bills/2019/s6937,Relates to requiring that all single-occupancy bathrooms in state-owned or operated buildings be designated as gender neutral," February 3, 2020",Public Buildings Law,SALAZAR,
3837,A8990,https://www.nysenate.gov/legislation/bills/2019/a8990,Relates to safety belt requirements for taxis and livery vehicles," February 3, 2020",Vehicle and Traffic Law,MAGNARELLI,
3838,S7164,https://www.nysenate.gov/legislation/bills/2019/s7164,Directs the office of information technology services to conduct a study on the use of legal material in an electronic format and access to such legal materials," February 3, 2020",State Technology,MAYER,
3839,S7195,https://www.nysenate.gov/legislation/bills/2019/s7195,Relates to the effectiveness of provisions relating to women on corporate boards study," February 3, 2020",Business Corporation,KRUEGER,
3840,A9056,https://www.nysenate.gov/legislation/bills/2019/a9056,Allows the commissioner of transportation to impound stretch limousines in certain situations," February 3, 2020",Transportation Law,MAGNARELLI,
3841,A9057,https://www.nysenate.gov/legislation/bills/2019/a9057,"Relates to the installation of safety belts in stretch limousines and the posting of notice, therein"," February 3, 2020",Vehicle and Traffic Law,PAULIN,
3842,A9058,https://www.nysenate.gov/legislation/bills/2019/a9058,Requires stretch limousines to use commercial global positioning system technology," February 3, 2020",Vehicle and Traffic Law,SANTABARBARA,
3843,A9059,https://www.nysenate.gov/legislation/bills/2019/a9059,Relates to requiring motor carriers to identify each limousine such motor carrier operates and ensure that such information is update on their website," February 3, 2020",Vehicle and Traffic Law,SANTABARBARA,
3844,S7312,https://www.nysenate.gov/legislation/bills/2019/s7312,"Authorizes the appointment of a monitor to oversee the Wyandanch union free school district, and authorizes deficit financing and an advance of aid payments for such district; repealer"," February 3, 2020",Education,BROOKS,
3845,S7321,https://www.nysenate.gov/legislation/bills/2019/s7321,Authorizes the appointment of a monitor to oversee the Hempstead union free school district; repealer," February 3, 2020",Education,THOMAS,
3846,S7183,https://www.nysenate.gov/legislation/bills/2019/s7183,Relates to the time needed by small business and local governments to comply with new regulations; repealer," February 3, 2020",State Administrative Procedure Act,KAPLAN,
3847,A8977,https://www.nysenate.gov/legislation/bills/2019/a8977,"Relates to hemp, cannabinoid hemp, and hemp extract"," January 23, 2020",Agriculture and Markets Law,LUPARDO,
3848,S6559,https://www.nysenate.gov/legislation/bills/2019/s6559,"Authorizing the commissioner of education and the chancellor of the board of regents, with the approval of the board of regents, to appoint monitors to oversee the Hempstead union free school district"," January 22, 2020",Education,THOMAS,
3849,S6367,https://www.nysenate.gov/legislation/bills/2019/s6367,Relates to a special retirement plan for certain members of the New York state and local police and fire retirement system," January 1, 2020",Retirement,GOUNARDES,
3850,A2904,https://www.nysenate.gov/legislation/bills/2019/a2904,Prohibits certain insurance policies from requiring prior authorization for certain medications used in the treatment of substance use disorders; repealer," December 31, 2019",Insurance Law,QUART,
3851,S4278,https://www.nysenate.gov/legislation/bills/2019/s4278,"Enacts the ""women on corporate boards study"""," December 30, 2019",Business Corporation Law,KRUEGER,
3852,S6197,https://www.nysenate.gov/legislation/bills/2019/s6197,Relates to policies or contracts which are not included in the definition of student accident and health insurance," December 27, 2019",Insurance Law,BRESLIN,
3853,S6436,https://www.nysenate.gov/legislation/bills/2019/s6436,Relates to equal pay for similar work protections for protected classes," December 26, 2019",Civil Service Law,MONTGOMERY,
3854,S1456,https://www.nysenate.gov/legislation/bills/2019/s1456,"Relates to licenses to purchase, use or store certain compounds"," December 23, 2019",Labor Law,SANDERS,
3855,S2385,https://www.nysenate.gov/legislation/bills/2019/s2385,Creates a permanent environmental justice advisory group," December 23, 2019",Environmental Conservation Law,PARKER,
3856,S3631,https://www.nysenate.gov/legislation/bills/2019/s3631,Relates to expanding the definition of service contracts with respect to automobile leases," December 23, 2019",Insurance Law,BRESLIN,
3857,S5160,https://www.nysenate.gov/legislation/bills/2019/s5160,"Provides that the defense, in a mortgage foreclosure action, of the plaintiff's lack of standing is not waived because of the defendant's failure to raise such defense in his or her responsive pleading"," December 23, 2019",Real Property Actions and Proceedings Law,KAVANAGH,
3858,A57,https://www.nysenate.gov/legislation/bills/2019/a57,"Requires domestic violence and sexual assault awareness education for persons engaged in the practice of nail specialty, waxing, natural hair styling, esthetics and cosmetology"," December 20, 2019",General Business Law,ROSENTHAL L,
3859,A375,https://www.nysenate.gov/legislation/bills/2019/a375,Relates to eliminating a disincentive for whistleblowers," December 20, 2019",Labor Law,STECK,
3860,S1379,https://www.nysenate.gov/legislation/bills/2019/s1379,Relates to significant programmatic accomplishment for limited credit time allowances for certain inmates," December 20, 2019",Correction Law,BAILEY,
3861,A1044,https://www.nysenate.gov/legislation/bills/2019/a1044,Relates to name change upon marriage," December 20, 2019",Domestic Relations Law,SIMOTAS,
3862,S1624,https://www.nysenate.gov/legislation/bills/2019/s1624,Relates to allowing boards of education of every school district to require minors who are five years of age to attend kindergarten," December 20, 2019",Education Law,SKOUFIS,
3863,S1864,https://www.nysenate.gov/legislation/bills/2019/s1864,Relates to the redemption of real property subject to a delinquent tax lien," December 20, 2019",Real Property Tax Law,GAUGHRAN,
3864,A2163,https://www.nysenate.gov/legislation/bills/2019/a2163,Relates to imposing an additional one percent occupancy tax in the county of Niagara to benefit the Discover Niagara shuttle," December 20, 2019",Tax Law,MORINELLO,
3865,A2198,https://www.nysenate.gov/legislation/bills/2019/a2198,"Increases from 4% to 5%, the authorized rate of taxation for the hotel or motel tax in the county of Schenectady"," December 20, 2019",Tax Law,STECK,
3866,A2236,https://www.nysenate.gov/legislation/bills/2019/a2236,"Relates to imposing an additional one percent occupancy tax in the city of Lockport, Niagara County to be dedicated to the operation of the Discover Niagara Shuttle"," December 20, 2019",Tax Law,NORRIS,
3867,A2554,https://www.nysenate.gov/legislation/bills/2019/a2554,Prohibits commercial leases from including a waiver of the right to a declaratory judgment action," December 20, 2019",Real Property Law,OTIS,
3868,A2566,https://www.nysenate.gov/legislation/bills/2019/a2566,Expands eligibility for crime victims' compensation to include domestic partners," December 20, 2019",Executive Law,GLICK,
3869,S2359,https://www.nysenate.gov/legislation/bills/2019/s2359,Requires the posting of notice by certain establishments upon the submission of an application or application for renewal for a liquor license to sell liquor," December 20, 2019",Alcoholic Beverage Control Law,KAVANAGH,
3870,A3009,https://www.nysenate.gov/legislation/bills/2019/a3009,Provides for the insurance coverage of the synchronization of multiple prescriptions," December 20, 2019",Insurance Law,QUART,
3871,A3271,https://www.nysenate.gov/legislation/bills/2019/a3271,Relates to imposing an additional one percent occupancy tax in the city of Niagara Falls to benefit the Discover Niagara shuttle," December 20, 2019",Tax Law,MORINELLO,
3872,A3486,https://www.nysenate.gov/legislation/bills/2019/a3486,Relates to the licensing board in the county of Westchester," December 20, 2019",Civil Practice Law and Rules,PAULIN,
3873,A4474,https://www.nysenate.gov/legislation/bills/2019/a4474,"Authorizes the county of Washington to impose an additional 25 cents per $100 of debt, mortgage recording tax"," December 20, 2019",Tax Law,STEC,
3874,S3585,https://www.nysenate.gov/legislation/bills/2019/s3585,Requires gas and electric utilities to make available to landlords upon request information concerning gas and electric charges incurred for residential premises," December 20, 2019",Public Service Law,PARKER,
3875,A5762,https://www.nysenate.gov/legislation/bills/2019/a5762,Relates to establishing the rare disease advisory council," December 20, 2019",Public Health Law,PAULIN,
3876,S4133,https://www.nysenate.gov/legislation/bills/2019/s4133,Relates to the aggregate annual income of low income persons or families eligible for accommodations in a company project," December 20, 2019",Private Housing Finance Law,KAVANAGH,
3877,A6542,https://www.nysenate.gov/legislation/bills/2019/a6542,Extends the village of Mamaroneck occupancy tax for three years," December 20, 2019",Tax Law,OTIS,
3878,A6548,https://www.nysenate.gov/legislation/bills/2019/a6548,Relates to authorizing the county of Chenango to establish hotel and motel taxes," December 20, 2019",Tax Law,CROUCH,
3879,S4756,https://www.nysenate.gov/legislation/bills/2019/s4756,Relates to direct dialing to public service answering points," December 20, 2019",Executive Law,BROOKS,
3880,S4841,https://www.nysenate.gov/legislation/bills/2019/s4841,Relates to execution of orders not to resuscitate and orders pertaining to life sustaining treatments by physician assistants; repealer," December 20, 2019",Public Health Law,RIVERA,
3881,S5080,https://www.nysenate.gov/legislation/bills/2019/s5080,Extends the village of Port Chester occupancy tax for three years," December 20, 2019",Taxation,MAYER,
3882,S5300,https://www.nysenate.gov/legislation/bills/2019/s5300,Relates to the definition of tobacco research products," December 20, 2019",Tax Law,RIVERA,
3883,S5445,https://www.nysenate.gov/legislation/bills/2019/s5445,Relates to comptroller audits of certain organizations controlled by municipal corporations and certain other government entities," December 20, 2019",General Municipal Law,SKOUFIS,
3884,A7418,https://www.nysenate.gov/legislation/bills/2019/a7418,Relates to the effectiveness of the hotel and motel tax in the town of Woodbury," December 20, 2019",Tax Law,SCHMITT,
3885,A7450,https://www.nysenate.gov/legislation/bills/2019/a7450,Increases hotel and motel taxes in the county of Essex from three to five percent," December 20, 2019",Tax Law,STEC,
3886,A7593,https://www.nysenate.gov/legislation/bills/2019/a7593,Requires the director of the office for the aging to establish or approve a sexual discrimination training program," December 20, 2019",Elder Law,BRONSON,
3887,S5922,https://www.nysenate.gov/legislation/bills/2019/s5922,Relates to requiring that all single occupancy bathrooms in state owned or operated buildings be designated as gender neutral," December 20, 2019",Public Buildings Law,SALAZAR,
3888,S6178,https://www.nysenate.gov/legislation/bills/2019/s6178,Relates to the authority of certain city clerks to designate persons who may perform marriage ceremonies," December 20, 2019",Domestic Relations Law,LIU,
3889,A8035,https://www.nysenate.gov/legislation/bills/2019/a8035,Relates to the definition of employer for purposes of the unemployment insurance law," December 20, 2019",Labor Law,FALL,
3890,S6329,https://www.nysenate.gov/legislation/bills/2019/s6329,Relates to the expiration of chapter 413 of the laws of 2015," December 20, 2019",Executive,KAMINSKY,
3891,S6362,https://www.nysenate.gov/legislation/bills/2019/s6362,Relates to the hotel or motel tax in the county of Oneida," December 20, 2019",Tax Law,GRIFFO,
3892,A1503,https://www.nysenate.gov/legislation/bills/2019/a1503,Relates to studying the implementation of 5G and next gen network technology in the state," December 16, 2019",State Technology,VANEL,
3893,A1971,https://www.nysenate.gov/legislation/bills/2019/a1971,Expands the amount of barrels that a restaurant brewer may sell at retail," December 16, 2019",Alcoholic Beverage Control Law,ZEBROWSKI,
3894,A4336,https://www.nysenate.gov/legislation/bills/2019/a4336,Relates to the report the correction medical review board is required to issue regarding the death of any inmate," December 16, 2019",Correction Law,WEPRIN,
3895,A4482,https://www.nysenate.gov/legislation/bills/2019/a4482,Provides a mental hygiene legal service to certain patients or residents of residential healthcare facilities," December 16, 2019",Mental Hygiene Law,CUSICK,
3896,A4632,https://www.nysenate.gov/legislation/bills/2019/a4632,Establishes space on the business franchise and personal income tax forms to make a gift for home delivered meals for seniors," December 16, 2019",Tax Law,ENGLEBRIGHT,
3897,A4988,https://www.nysenate.gov/legislation/bills/2019/a4988,Relates to informed consent for procedures in the course of education or training," December 16, 2019",Public Health Law,PAULIN,
3898,S3550,https://www.nysenate.gov/legislation/bills/2019/s3550,Provides for the examination of the re-entry of incarcerated individuals," December 16, 2019",Correctional Services,CARLUCCI,
3899,S4046,https://www.nysenate.gov/legislation/bills/2019/s4046,Relates to jewelry containing lead," December 16, 2019",Environmental Conservation Law,PARKER,
3900,S4276,https://www.nysenate.gov/legislation/bills/2019/s4276,Makes technical corrections to references to the office for people with developmental disabilities," December 16, 2019",Election Law,SKOUFIS,
3901,S4351,https://www.nysenate.gov/legislation/bills/2019/s4351,Establishes a postconsumer paint collection program," December 16, 2019",Environmental Conservation Law,KENNEDY,
3902,A6520,https://www.nysenate.gov/legislation/bills/2019/a6520,Relates to establishing the marine mammal and sea turtle protection area," December 16, 2019",Environmental Conservation Law,ENGLEBRIGHT,
3903,A7395,https://www.nysenate.gov/legislation/bills/2019/a7395,Relates to notification of rights of victims of domestic violence in criminal and family court proceedings," December 16, 2019",Family Court Act,WEINSTEIN,
3904,A7525,https://www.nysenate.gov/legislation/bills/2019/a7525,Relates to small claims court jurisdiction," December 16, 2019",New York City Civil Court Act,DENDEKKER,
3905,A7647,https://www.nysenate.gov/legislation/bills/2019/a7647,Relates to the detention of individuals in a county jail pending a first court appearance in an off-hours arraignment part," December 16, 2019",Correction Law,WEPRIN,
3906,S5820,https://www.nysenate.gov/legislation/bills/2019/s5820,Requires the New York state energy research and development authority to study and make recommendations regarding the state's electric vehicle inventory and vehicle infrastructure," December 16, 2019",Public Authorities,METZGER,
3907,S5908,https://www.nysenate.gov/legislation/bills/2019/s5908,Relates to reporting abuses of persons receiving care or services in residential care facilities," December 16, 2019",Public Health Law,RIVERA,
3908,A7779,https://www.nysenate.gov/legislation/bills/2019/a7779,Requires an annual report on appliance and equipment energy efficiency standards and resulting energy and utility bill savings," December 16, 2019",Energy Law,FAHY,
3909,A8024,https://www.nysenate.gov/legislation/bills/2019/a8024,Clarifies the employee requirements for appraisal management companies," December 16, 2019",Executive Law,ZEBROWSKI,
3910,S6524,https://www.nysenate.gov/legislation/bills/2019/s6524,"Relates to the minimum qualifications to serve as a fire chief in any fire department, fire district or fire protection district that employs six or more paid firefighters"," December 16, 2019",Civil Service Law,GOUNARDES,
3911,S3387,https://www.nysenate.gov/legislation/bills/2019/s3387,Relates to lactation counseling services," December 16, 2019",Social Services Law,KAPLAN,
3912,A1084,https://www.nysenate.gov/legislation/bills/2019/a1084,Relates to rights of residents of adult care facilities," December 13, 2019",Social Services Law,GOTTFRIED,
3913,A3840,https://www.nysenate.gov/legislation/bills/2019/a3840,Relates to requiring that information be made available to parents regarding window blind safety," December 13, 2019",Public Health Law,MCDONALD,
3914,S3204,https://www.nysenate.gov/legislation/bills/2019/s3204,Establishes the 400 Years of African-American History Commission," December 13, 2019",Arts and Cultural Affairs,COMRIE,
3915,S5098,https://www.nysenate.gov/legislation/bills/2019/s5098,Requires the department of environmental conservation to designate certain species as vulnerable species," December 13, 2019",Environmental Conservation Law,MARTINEZ,
3916,A453,https://www.nysenate.gov/legislation/bills/2019/a453,"Relates to liability of members for wages due to laborers, servants or employees by domestic and foreign limited liability companies"," December 12, 2019",Limited Liability Company Law,STECK,
3917,A1124,https://www.nysenate.gov/legislation/bills/2019/a1124,Relates to health care decisions for adult patients without surrogates," December 12, 2019",Public Health Law,GOTTFRIED,
3918,A1239,https://www.nysenate.gov/legislation/bills/2019/a1239,Relates to allowing a person having a lawful order of custody of a child to make medical decisions for such child," December 12, 2019",Family Court Act,JAFFEE,
3919,S2403,https://www.nysenate.gov/legislation/bills/2019/s2403,Relates to reviewing suicide prevention programs periodically," December 12, 2019",Mental Hygiene Law,CARLUCCI,
3920,S2634,https://www.nysenate.gov/legislation/bills/2019/s2634,Relates to authority of certain municipalities to levy an excise tax on the sale of tobacco products other than cigarettes," December 12, 2019",Public Housing Law,KRUEGER,
3921,A4258,https://www.nysenate.gov/legislation/bills/2019/a4258,Relates to providing rent subsidies to individuals living with roommates," December 12, 2019",Social Services Law,HEVESI,
3922,S3122,https://www.nysenate.gov/legislation/bills/2019/s3122,Relates to granting peace officer status to uniformed members of the bureau of fire prevention of the town of Islip," December 12, 2019",Criminal Procedure Law,MARTINEZ,
3923,S3889,https://www.nysenate.gov/legislation/bills/2019/s3889,Relates to the removal of an action from a problem solving court," December 12, 2019",Criminal Procedure Law,CARLUCCI,
3924,A6462,https://www.nysenate.gov/legislation/bills/2019/a6462,Changes New York state history month from November to October," December 12, 2019",Arts and Cultural Affairs Law,NOLAN,
3925,S5069,https://www.nysenate.gov/legislation/bills/2019/s5069,Directs the department of civil service to study and publish a report evaluating public employers' wage disparities," December 12, 2019",Civil Service,PARKER,
3926,S5372,https://www.nysenate.gov/legislation/bills/2019/s5372,Provides for a notice of conveyance of real property to be sent to the owners of record of residential real property," December 12, 2019",Real Property Law,COMRIE,
3927,A7600,https://www.nysenate.gov/legislation/bills/2019/a7600,Relates to the permitted submissions in a default judgment," December 12, 2019",Civil Practice Law and Rules,ABINANTI,
3928,S6271,https://www.nysenate.gov/legislation/bills/2019/s6271,Relates to regulation and sale of alcoholic beverages at certain tribal casinos," December 12, 2019","Racing, Pari-Mutuel Wagering and Breeding Law",ADDABBO,
3929,A8122,https://www.nysenate.gov/legislation/bills/2019/a8122,Relates to the Battery Park city authority," December 12, 2019",Public Authorities Law,NIOU,
3930,S6345,https://www.nysenate.gov/legislation/bills/2019/s6345,Relates to providing that a special patrol officer of the county of Oswego need not be a resident of such county," December 12, 2019",Public Officers Law,RITCHIE,
3931,S1665,https://www.nysenate.gov/legislation/bills/2019/s1665,Authorizes the commissioner of general services to transfer and convey certain unappropriated state land to the village of Freeport," December 11, 2019",Nassau County,BROOKS,
3932,A212,https://www.nysenate.gov/legislation/bills/2019/a212,Relates to certain central venous lines," December 10, 2019",Public Health Law,GALEF,
3933,A2687,https://www.nysenate.gov/legislation/bills/2019/a2687,Relates to ballots for absentee voters," December 10, 2019",Election Law,THIELE,
3934,A382,https://www.nysenate.gov/legislation/bills/2019/a382,Directs the department of state to conduct a study on the use of legal material in an electronic format and access to such legal materials," December 6, 2019",State,LIFTON,
3935,S578,https://www.nysenate.gov/legislation/bills/2019/s578,Requires the commissioner of taxation and finance to allow distillers and brewers to file their taxes electronically," December 6, 2019",Tax Law,KENNEDY,
3936,A591,https://www.nysenate.gov/legislation/bills/2019/a591,Authorizes and directs the commissioner of health to commission a statewide evaluation regarding the extent of gambling by New York state residents," December 6, 2019",Mental Hygiene Law,ROSENTHAL L,
3937,A842,https://www.nysenate.gov/legislation/bills/2019/a842,Relates to the time needed by small businesses and local governments to comply with new regulations," December 6, 2019",State Administrative Procedure Act,SIMOTAS,
3938,A2286,https://www.nysenate.gov/legislation/bills/2019/a2286,Relates to water saving performance standards," December 6, 2019",Environmental Conservation Law,HUNTER,
3939,S3452,https://www.nysenate.gov/legislation/bills/2019/s3452,"Relates to the Fishers Island ferry district in the town of Southold, Suffolk county; repealer"," December 6, 2019",Suffolk County,LAVALLE,
3940,A5622,https://www.nysenate.gov/legislation/bills/2019/a5622,Relates to enacting the uniform voidable transactions act; repealer," December 6, 2019",Debtor and Creditor Law,WEINSTEIN,
3941,A5626,https://www.nysenate.gov/legislation/bills/2019/a5626,Provides for the regulation of federal home equity conversion mortgages," December 6, 2019",Real Property Law,WEINSTEIN,
3942,S4131,https://www.nysenate.gov/legislation/bills/2019/s4131,"Permits tenants or residents of limited profit housing to copy financial documents pertaining to their projects, subject to a reasonable charge therefor"," December 6, 2019",Private Housing Finance Law,KAVANAGH,
3943,S4292,https://www.nysenate.gov/legislation/bills/2019/s4292,Relates to setting limits on severance packages for public at-will employees," December 6, 2019",Public Authorities Law,COMRIE,
3944,S5400,https://www.nysenate.gov/legislation/bills/2019/s5400,Authorizes the assessor of the city of Albany to accept from Congregation Ohav Shalom an application for exemption from real property taxes pursuant to section 420-a of the real property tax law," December 6, 2019",Real Property Taxation,BRESLIN,
3945,S5487,https://www.nysenate.gov/legislation/bills/2019/s5487,Authorizes Cong. K'hal Yereim of Woodridge to file an application for a retroactive real property tax exemption," December 6, 2019",Real Property,CARLUCCI,
3946,S5510,https://www.nysenate.gov/legislation/bills/2019/s5510,Relates to appropriation and apportionment of moneys for the promotion of agriculture and domestic arts in the county of Orange," December 6, 2019",Agriculture and Markets Law,METZGER,
3947,S5512,https://www.nysenate.gov/legislation/bills/2019/s5512,"Relates to the commissions of donees of a power in trust, including donees of a power during minority"," December 6, 2019",Surrogate's Court Procedure Act,HOYLMAN,
3948,S5586,https://www.nysenate.gov/legislation/bills/2019/s5586,"Authorizes Bais Trany of Monsey, Inc. to file an application for a retroactive real property tax exemption"," December 6, 2019",Real Property,CARLUCCI,
3949,S5611,https://www.nysenate.gov/legislation/bills/2019/s5611,"Allows deputy sheriffs Matthew Ashton, Bradley Hamilton, and Joshua Whitney, to join the optional twenty-five year retirement plan, county of Washington"," December 6, 2019",Retirement,LITTLE,
3950,S5757,https://www.nysenate.gov/legislation/bills/2019/s5757,Relates to the attendance of minors upon full day instruction and the conditions under which districts are entitled to an apportionment of state aid; repeals certain provisions of law relating thereto," December 6, 2019",Education Law,MAYER,
3951,S6235,https://www.nysenate.gov/legislation/bills/2019/s6235,Includes the county of Ulster within the definition of a designated community," December 6, 2019",General Municipal Law,METZGER,
3952,S6291,https://www.nysenate.gov/legislation/bills/2019/s6291,"Authorizes the town of East Hampton, in the county of Suffolk, to alienate parklands for the purpose of establishing a hospital emergency room"," December 6, 2019",Suffolk County,LAVALLE,
3953,A8135,https://www.nysenate.gov/legislation/bills/2019/a8135,Relates to the the Central Pine Barrens area and the core preservation area," December 6, 2019",Environmental Conservation Law,ENGLEBRIGHT,
3954,S6451,https://www.nysenate.gov/legislation/bills/2019/s6451,"Exempts certain parcels of land from the provisions of law which generally restrict manufacturers, wholesalers and retailers from sharing an interest in a liquor license"," December 6, 2019",Alcoholic Beverage Control Law,BENJAMIN,
3955,A6188,https://www.nysenate.gov/legislation/bills/2019/a6188,Relates to harassment of a rent regulated tenant," December 3, 2019",Penal Law,LENTOL,
3956,S4802,https://www.nysenate.gov/legislation/bills/2019/s4802,Requires the commissioner of agriculture and markets to identify and develop standards for therapy dogs," December 3, 2019",Agriculture and Markets Law,MARTINEZ,
3957,S4777,https://www.nysenate.gov/legislation/bills/2019/s4777,Enacts the nuisance call act," December 2, 2019",General Business Law,KAMINSKY,
3958,S104,https://www.nysenate.gov/legislation/bills/2019/s104,"Authorizes the alienation of certain parklands in the town of Hempstead, county of Nassau"," November 25, 2019",Parks,KAMINSKY,
3959,A120,https://www.nysenate.gov/legislation/bills/2019/a120,Relates to testimony related to voter's signature on a petition," November 25, 2019",Election Law,BUCHWALD,
3960,A484,https://www.nysenate.gov/legislation/bills/2019/a484,Relates to informational materials concerning menstrual disorders," November 25, 2019",Public Health Law,ROSENTHAL L,
3961,S1405,https://www.nysenate.gov/legislation/bills/2019/s1405,Relates to home improvement contract provisions," November 25, 2019",General Business Law,CARLUCCI,
3962,A1565,https://www.nysenate.gov/legislation/bills/2019/a1565,"Provides for the inclusion, at a voter's option, of an e-mail address in the voter registration application and record for notices to be sent thus and by U.S.P.S."," November 25, 2019",Election Law,GALEF,
3963,S1877,https://www.nysenate.gov/legislation/bills/2019/s1877,Relates to insurance reserve funds of the Mamaroneck union free school district," November 25, 2019",General Municipal Law,MAYER,
3964,A4898,https://www.nysenate.gov/legislation/bills/2019/a4898,Relates to additional information required in annual reports for limited-profit housing companies," November 25, 2019",Private Housing Finance Law,BLAKE,
3965,A5294,https://www.nysenate.gov/legislation/bills/2019/a5294,Prohibits a consumer reporting agency or lender from using certain information to determine an individual's credit worthiness," November 25, 2019",General Business Law,CRESPO,
3966,S3952,https://www.nysenate.gov/legislation/bills/2019/s3952,Relates to the merger of cemetery corporations," November 25, 2019",Not-for-Profit Corporation Law,BROOKS,
3967,A6149,https://www.nysenate.gov/legislation/bills/2019/a6149,Relates to home inspection professional licensing," November 25, 2019",Real Property Law,LUPARDO,
3968,S4330,https://www.nysenate.gov/legislation/bills/2019/s4330,Authorizes Seventh Day Church of God of the Apostolic Faith to receive retroactive real property tax exempt status," November 25, 2019",Real Property Taxation,KAMINSKY,
3969,S4363,https://www.nysenate.gov/legislation/bills/2019/s4363,Relates to limitations on amounts to be raised for the repair and improvement of highways in the town of Huntington," November 25, 2019",Highway Law,GAUGHRAN,
3970,S4413,https://www.nysenate.gov/legislation/bills/2019/s4413,Relates to notice of employee rights and remedies," November 25, 2019",Labor Law,METZGER,
3971,A6575,https://www.nysenate.gov/legislation/bills/2019/a6575,Relates to home visiting programs," November 25, 2019",Social Services Law,FAHY,
3972,S5120,https://www.nysenate.gov/legislation/bills/2019/s5120,Relates to discontinuing the use of land within the village of Tarrytown as parkland and alienating the parcel," November 25, 2019",Parks,STEWART-COUSINS,
3973,S5138,https://www.nysenate.gov/legislation/bills/2019/s5138,"Relates to county, city, village or town commissions on human rights"," November 25, 2019",General Municipal Law,MAYER,
3974,S5232,https://www.nysenate.gov/legislation/bills/2019/s5232,Permits the Morning Star Missionary Baptist Church to file an application for a real property tax exemption," November 25, 2019",Real Property Taxation,BRESLIN,
3975,S5235,https://www.nysenate.gov/legislation/bills/2019/s5235,"Permits the Northeastern Association of the Blind at Albany, Inc. to file an application for a real property tax exemption"," November 25, 2019",Real Property Taxation,BRESLIN,
3976,A7473,https://www.nysenate.gov/legislation/bills/2019/a7473,Relates to increasing the maximum account balance for the New York ABLE program," November 25, 2019",Mental Hygiene Law,GUNTHER,
3977,S5780,https://www.nysenate.gov/legislation/bills/2019/s5780,Relates to the effectiveness of certain provisions of chapter 462 of the laws of 2015 amending the elder law relating to long term care ombudsman access to assisted living facilities," November 25, 2019",Elder,MAY,
3978,S6145,https://www.nysenate.gov/legislation/bills/2019/s6145,Eliminates the installation or covering of mercury-containing flooring in elementary and secondary schools," November 25, 2019",Environmental Conservation Law,KAMINSKY,
3979,S6268,https://www.nysenate.gov/legislation/bills/2019/s6268,"Extends the effectiveness of chapter 465 of the laws of 2016 amending the tax law relating to authorizing the city of Hudson to impose hotel and motel taxes until December 1, 2022"," November 25, 2019",Taxation,JORDAN,
3980,A8056,https://www.nysenate.gov/legislation/bills/2019/a8056,Relates to fiscal reporting," November 25, 2019",Environmental Conservation Law,EPSTEIN,
3981,S6292,https://www.nysenate.gov/legislation/bills/2019/s6292,"Authorizes the town of Brookhaven, county of Suffolk, to alienate certain parcels of land used as parklands and to dedicate other lands as parklands"," November 25, 2019",Suffolk County,LAVALLE,
3982,S6351,https://www.nysenate.gov/legislation/bills/2019/s6351,Permits suspension of jury deliberations for a certain period of time," November 25, 2019",Criminal Procedure Law,BAILEY,
3983,S6483,https://www.nysenate.gov/legislation/bills/2019/s6483,Relates to the age requirements applicable to appointments or promotions of certain public employees who have been absent on military duty," November 25, 2019",Military Law,BROOKS,
3984,A8339,https://www.nysenate.gov/legislation/bills/2019/a8339,Requires the Rye Country Day School to make the athletic field and track available for rental to public recreation groups for a certain amount of time per year," November 25, 2019","General Services, Commissioner of",OTIS,
3985,A407,https://www.nysenate.gov/legislation/bills/2019/a407,Requires nursing homes to provide potential residents with policy on granting physician privileges prior to executing agreement," November 20, 2019",Public Health Law,CAHILL,
3986,S1012,https://www.nysenate.gov/legislation/bills/2019/s1012,Relates to permitting the Middletown school district to establish an insurance reserve fund," November 20, 2019",General Municipal Law,METZGER,
3987,A1068,https://www.nysenate.gov/legislation/bills/2019/a1068,Relates to reporting on the status and outcomes of initiatives created in response to the heroin and opioid epidemic," November 20, 2019",Mental Hygiene Law,ROSENTHAL L,
3988,A1078,https://www.nysenate.gov/legislation/bills/2019/a1078,Relates to conforming the definition of palliative care throughout the public health law," November 20, 2019",Public Health Law,GOTTFRIED,
